scope,run,split_seed,model,precision,recall,f1,tp,fp,fn,tn
all,12,18,LR,0.5766129032258065,0.7857142857142857,0.6651162790697674,143,105,39,827
all,12,18,SVM,0.6988636363636364,0.6758241758241759,0.6871508379888268,123,53,59,879
all,13,19,NB,0.0,0.0,0.0,0,0,182,932
all,13,19,LR,0.6153846153846154,0.7912087912087912,0.6923076923076923,144,90,38,842
all,13,19,SVM,0.7109826589595376,0.6758241758241759,0.6929577464788732,123,50,59,882
all,14,20,NB,0.0,0.0,0.0,0,0,182,932
all,14,20,LR,0.6519823788546255,0.8131868131868132,0.7237163814180929,148,79,34,853
all,14,20,SVM,0.7514450867052023,0.7142857142857143,0.7323943661971831,130,43,52,889
all,15,21,NB,0.0,0.0,0.0,0,0,182,932
all,15,21,LR,0.6134453781512605,0.8021978021978022,0.6952380952380952,146,92,36,840
all,15,21,SVM,0.7425149700598802,0.6813186813186813,0.7106017191977078,124,43,58,889
all,16,22,NB,0.0,0.0,0.0,0,0,182,932
all,16,22,LR,0.6095617529880478,0.8406593406593407,0.7066974595842956,153,98,29,834
all,16,22,SVM,0.7513227513227513,0.7802197802197802,0.7654986522911051,142,47,40,885
all,17,23,NB,0.0,0.0,0.0,0,0,182,932
all,17,23,LR,0.6419213973799127,0.8076923076923077,0.7153284671532847,147,82,35,850
all,17,23,SVM,0.7111111111111111,0.7032967032967034,0.7071823204419889,128,52,54,880
all,18,24,NB,0.0,0.0,0.0,0,0,182,932
all,18,24,LR,0.6457399103139013,0.7912087912087912,0.7111111111111111,144,79,38,853
all,18,24,SVM,0.7636363636363637,0.6923076923076923,0.7262247838616714,126,39,56,893
all,19,25,NB,0.0,0.0,0.0,0,0,182,932
all,19,25,LR,0.6339285714285714,0.7802197802197802,0.6995073891625616,142,82,40,850
all,19,25,SVM,0.7558139534883721,0.7142857142857143,0.7344632768361582,130,42,52,890
all,20,26,NB,0.0,0.0,0.0,0,0,182,932
all,20,26,LR,0.5958333333333333,0.7857142857142857,0.6777251184834123,143,97,39,835
all,20,26,SVM,0.6947368421052632,0.7252747252747253,0.7096774193548387,132,58,50,874
all,21,27,NB,0.0,0.0,0.0,0,0,182,932
all,21,27,LR,0.6140350877192983,0.7692307692307693,0.6829268292682927,140,88,42,844
all,21,27,SVM,0.7262569832402235,0.7142857142857143,0.7202216066481995,130,49,52,883
all,22,28,NB,0.0,0.0,0.0,0,0,182,932
all,22,28,LR,0.608,0.8351648351648352,0.7037037037037037,152,98,30,834
all,22,28,SVM,0.7377049180327869,0.7417582417582418,0.7397260273972602,135,48,47,884
all,23,29,NB,0.0,0.0,0.0,0,0,182,932
all,23,29,LR,0.6313559322033898,0.8186813186813187,0.7129186602870813,149,87,33,845
all,23,29,SVM,0.7556818181818182,0.7307692307692307,0.7430167597765364,133,43,49,889
all,24,30,NB,1.0,0.005494505494505495,0.01092896174863388,1,0,181,932
all,24,30,LR,0.6405529953917051,0.7637362637362637,0.6967418546365914,139,78,43,854
all,24,30,SVM,0.7341772151898734,0.6373626373626373,0.6823529411764706,116,42,66,890
all,25,31,NB,0.0,0.0,0.0,0,0,182,932
all,25,31,LR,0.6437768240343348,0.8241758241758241,0.7228915662650602,150,83,32,849
all,25,31,SVM,0.7401129943502824,0.7197802197802198,0.7298050139275766,131,46,51,886
all,26,32,NB,0.0,0.0,0.0,0,0,182,932
all,26,32,LR,0.6008403361344538,0.7857142857142857,0.680952380952381,143,95,39,837
all,26,32,SVM,0.6544502617801047,0.6868131868131868,0.6702412868632708,125,66,57,866
all,27,33,NB,0.0,0.0,0.0,0,0,182,932
all,27,33,LR,0.6196581196581197,0.7967032967032966,0.6971153846153846,145,89,37,843
all,27,33,SVM,0.6931818181818182,0.6703296703296703,0.6815642458100558,122,54,60,878
all,28,34,NB,0.0,0.0,0.0,0,0,182,932
all,28,34,LR,0.6127659574468085,0.7912087912087912,0.6906474820143885,144,91,38,841
all,28,34,SVM,0.7017543859649122,0.6593406593406593,0.6798866855524079,120,51,62,881
all,29,35,NB,0.0,0.0,0.0,0,0,182,932
all,29,35,LR,0.6696035242290749,0.8351648351648352,0.7432762836185819,152,75,30,857
all,29,35,SVM,0.7528089887640449,0.7362637362637363,0.7444444444444445,134,44,48,888
all,30,36,NB,0.0,0.0,0.0,0,0,182,932
all,30,36,LR,0.6081081081081081,0.7417582417582418,0.6683168316831684,135,87,47,845
