scope,metric,baseline,proposed,baseline_mean,proposed_mean,mean_difference,p_value,cliffs_delta,proposed_wins,ties,baseline_wins
all,precision,NB,SVM,0.1,0.7244382554140237,0.6244382554140238,1.5889370473632456e-06,0.8,27,0,3
all,recall,NB,SVM,0.0005494505494505495,0.7023809523809526,0.701831501831502,8.574237005166256e-07,1.0,30,0,0
all,f1,NB,SVM,0.001092896174863388,0.7127966671093283,0.7117037709344649,8.661081165720568e-07,1.0,30,0,0
